"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"ContactList API","ContactListEditContactTests","Register Success with valid credentials","0","0","5","0","0"
"DummyJson API","User Me Endpoint","Negative Scenarios","0","0","2","0","0"
"DummyJson API","User Me Endpoint","Positive Scenarios","0","0","3","0","0"
"ContactList API","ContactListRegisterUserTests","Register Success with valid credentials","0","0","5","0","0"
"Advantage Shopping API","User Registration","","0","0","2","0","0"
"DummyJson API","DummyJsonAuthTests","Negative Scenarios","0","0","4","0","0"
"DummyJson API","Search","","0","0","1","0","0"
"HttpBin API","Retry / Resiliency Tests","Retry GET /get until success","0","0","1","0","0"
"DummyJson API","DummyJsonAuthTests","Login Success with valid credentials","0","0","2","0","0"
"ContactList API","ContactListLoginTests","Register Success with valid credentials","0","0","3","0","0"
"HttpBin API","Status & Resiliency Tests","","0","0","4","0","0"
"ContactList API","ContactListCreateContactTests","Register Success with valid credentials","0","1","0","0","0"
"HttpBin API","Timeout / Resiliency Tests","","0","0","1","0","0"
"GoRest API","User CRUD Operations","Create and GET user","0","0","1","0","0"
"ContactList API","ContactListDeleteContactTests","Register Success with valid credentials","0","0","1","0","0"
"Cloudflare API","Protocol Validation","","0","0","1","0","0"
"","","","0","0","1","0","0"
