"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 10:48:24 PST 2026","Tue Apr 14 10:48:28 PST 2026","3465","","ContactListEditContactTests","","tests.contactList.ContactListEditContactTests","edit5_contact_returns_200","TC05 - Edit success",""
"passed","Tue Apr 14 10:48:40 PST 2026","Tue Apr 14 10:48:40 PST 2026","339","","DummyJsonUserMeTests","","tests.dummyjson.auth.DummyJsonUserMeTests","user_me_expired_token_should_return_401","TC09 - Get user info with expired token",""
"passed","Tue Apr 14 10:48:28 PST 2026","Tue Apr 14 10:48:29 PST 2026","1875","","ContactListEditContactTests","","tests.contactList.ContactListEditContactTests","edit4_contact_returns_200","TC04 - Edit success",""
"passed","Tue Apr 14 10:48:39 PST 2026","Tue Apr 14 10:48:40 PST 2026","794","","DummyJsonUserMeTests","","tests.dummyjson.auth.DummyJsonUserMeTests","user_me_without_accept_encoding_should_still_return_200","TC13 - Get user info without Accept-Encoding header",""
"passed","Tue Apr 14 10:48:30 PST 2026","Tue Apr 14 10:48:31 PST 2026","1252","","ContactListRegisterUserTests","","tests.contactList.ContactListRegisterUserTests","register4_user_returns_201","TC04 - Registration success",""
"passed","Tue Apr 14 10:48:35 PST 2026","Tue Apr 14 10:48:35 PST 2026","20","","AdvantageShoppingTests","","tests.integration.AdvantageShoppingTests","register_new_user_should_return_success_mock","TC02 - Register new user should return success (mock)",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:31 PST 2026","479","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","missing_password_should_return_400","TC03 - Missing password should return 400",""
"passed","Tue Apr 14 10:48:33 PST 2026","Tue Apr 14 10:48:34 PST 2026","998","","DummyJsonSearchTests","","tests.dummyjson.auth.DummyJsonSearchTests","users_search_should_return_users_total_limit","TC11 - Search users by valid query should return results",""
"passed","Tue Apr 14 10:48:36 PST 2026","Tue Apr 14 10:48:37 PST 2026","1345","","HttpBinRetryTests","","tests.resiliency.HttpBinRetryTests","retry_demo_should_eventually_get_200","TC01 - Retry /get until status 200",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:32 PST 2026","373","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","login_success_should_return_200","TC01 - Login success",""
"passed","Tue Apr 14 10:48:26 PST 2026","Tue Apr 14 10:48:28 PST 2026","1666","","ContactListLoginTests","","tests.contactList.ContactListGetContactTests","login_user_returns_200","TC01 - Login success",""
"passed","Tue Apr 14 10:48:29 PST 2026","Tue Apr 14 10:48:31 PST 2026","1849","","ContactListEditContactTests","","tests.contactList.ContactListEditContactTests","edit3_contact_returns_200","TC03 - Edit success",""
"passed","Tue Apr 14 10:48:32 PST 2026","Tue Apr 14 10:48:32 PST 2026","352","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","login_using_framework_baseUrl_should_work","TC02 - Login using framework baseUrl should work",""
"passed","Tue Apr 14 10:48:32 PST 2026","Tue Apr 14 10:48:34 PST 2026","2021","","HttpBinStatusTests","","tests.resiliency.HttpBinStatusTests","test_should_return_429","TC02 - Return HTTP 429",""
"passed","Tue Apr 14 10:48:32 PST 2026","Tue Apr 14 10:48:33 PST 2026","303","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","empty_body_should_return_error","TC06 - Empty body should return 400",""
"broken","Tue Apr 14 10:48:24 PST 2026","Tue Apr 14 10:48:26 PST 2026","2385","","ContactListCreateContactTests","","tests.contactList.ContactListCreateContactTests","create_contact_returns_201","TC01 - Contact creation success",""
"passed","Tue Apr 14 10:48:28 PST 2026","Tue Apr 14 10:48:29 PST 2026","1448","","ContactListLoginTests","","tests.contactList.ContactListLoginTests","login_user_returns_200","TC01 - Login success",""
"passed","Tue Apr 14 10:48:32 PST 2026","Tue Apr 14 10:48:32 PST 2026","310","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","username_integer_should_return_400","TC05 - Login should fail when username format is invalid",""
"passed","Tue Apr 14 10:48:24 PST 2026","Tue Apr 14 10:48:31 PST 2026","7331","","HttpBinTimeoutTests","","tests.resiliency.HttpBinTimeoutTests","test_delay_should_timeout_with_5_seconds","TC01 - /delay/10 with 5s timeout",""
"passed","Tue Apr 14 10:48:35 PST 2026","Tue Apr 14 10:48:36 PST 2026","1399","","GoRestUserCrudTests","","tests.integration.GoRestUserCrudTests","create_then_get_user_should_match","TC01 - Create a new user and verify via GET",""
"passed","Tue Apr 14 10:48:29 PST 2026","Tue Apr 14 10:48:31 PST 2026","1311","","ContactListLoginTests","","tests.contactList.ContactListLoginTests","login2_user_returns_200","TC02 - Login success",""
"passed","Tue Apr 14 10:48:28 PST 2026","Tue Apr 14 10:48:30 PST 2026","1352","","ContactListRegisterUserTests","","tests.contactList.ContactListRegisterUserTests","register3_user_returns_201","TC03 - Registration success",""
"passed","Tue Apr 14 10:48:24 PST 2026","Tue Apr 14 10:48:28 PST 2026","3781","","ContactListDeleteContactTests","","tests.contactList.ContactListDeleteUserTests","delete_contact_returns_200","TC01 - Deletion success",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:32 PST 2026","1337","","HttpBinStatusTests","","tests.resiliency.HttpBinStatusTests","test_should_return_500","TC01 - Return HTTP 500",""
